Media Url,Item Identifier
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0001.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0002.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0003.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0004.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0005.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0006.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0007.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0008.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0009.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0010.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0011.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0012.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0013.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0014.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0015.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0016.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0017.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
https://curation.library.t.u-tokyo.ac.jp/tmp/images/1879S_Shida_Rinzaburo_0018.jpg,5ad34ae0-0bf3-45ed-b354-a1bc6f38e124
